,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
485,437,Steel,Psychic,384,67,89,116,79,116,33,4,False
486,438,Rock,,245,50,80,95,10,45,10,4,False
487,439,Psychic,Fairy,220,20,25,45,70,90,60,4,False
488,440,Normal,,155,100,5,5,15,65,30,4,False
489,441,Normal,Flying,369,76,65,45,92,42,91,4,False
490,442,Ghost,Dark,377,50,92,108,92,108,35,4,False
491,443,Dragon,Ground,255,58,70,45,40,45,42,4,False
492,444,Dragon,Ground,355,68,90,65,50,55,82,4,False
493,445,Dragon,Ground,515,108,130,95,80,85,102,4,False
494,445,Dragon,Ground,605,108,170,115,120,95,92,4,False
495,446,Normal,,305,135,85,40,40,85,5,4,False
496,447,Fighting,,245,40,70,40,35,40,60,4,False
497,448,Fighting,Steel,455,70,110,70,115,70,90,4,False
498,448,Fighting,Steel,555,70,145,88,140,70,112,4,False
499,449,Ground,,288,68,72,78,38,42,32,4,False
500,450,Ground,,453,108,112,118,68,72,47,4,False
501,451,Poison,Bug,275,40,50,90,30,55,65,4,False
502,452,Poison,Dark,425,70,90,110,60,75,95,4,False
503,453,Poison,Fighting,260,48,61,40,61,40,50,4,False
504,454,Poison,Fighting,425,83,106,65,86,65,85,4,False
505,455,Grass,,382,74,100,72,90,72,46,4,False
506,456,Water,,269,49,49,56,49,61,66,4,False
507,457,Water,,374,69,69,76,69,86,91,4,False
508,458,Water,Flying,225,45,20,50,60,120,50,4,False
509,459,Grass,Ice,274,60,62,50,62,60,40,4,False
510,460,Grass,Ice,409,90,92,75,92,85,60,4,False
511,460,Grass,Ice,489,90,132,105,132,105,30,4,False
512,461,Dark,Ice,425,70,120,65,45,85,125,4,False
513,462,Electric,Steel,445,70,70,115,130,90,60,4,False
514,463,Normal,,420,110,85,95,80,95,50,4,False
515,464,Ground,Rock,480,115,140,130,55,55,40,4,False
516,465,Grass,,485,100,100,125,110,50,50,4,False
517,466,Electric,,455,75,123,67,95,85,95,4,False
518,467,Fire,,445,75,95,67,125,95,83,4,False
519,468,Fairy,Flying,430,85,50,95,120,115,80,4,False
520,469,Bug,Flying,459,86,76,86,116,56,95,4,False
521,470,Grass,,460,65,110,130,60,65,95,4,False
522,471,Ice,,430,65,60,110,130,95,65,4,False
523,472,Ground,Flying,435,75,95,125,45,75,95,4,False
524,473,Ice,Ground,470,110,130,80,70,60,80,4,False
525,474,Normal,,460,85,80,70,135,75,90,4,False
526,475,Psychic,Fighting,403,68,125,65,65,115,80,4,False
527,475,Psychic,Fighting,503,68,165,95,65,115,110,4,False
528,476,Rock,Steel,375,60,55,145,75,150,40,4,False
529,477,Ghost,,390,45,100,135,65,135,45,4,False
530,478,Ice,Ghost,410,70,80,70,80,70,110,4,False
531,479,Electric,Ghost,363,50,50,77,95,77,91,4,False
532,479,Electric,Fire,413,50,65,107,105,107,86,4,False
533,479,Electric,Water,413,50,65,107,105,107,86,4,False
534,479,Electric,Ice,413,50,65,107,105,107,86,4,False
535,479,Electric,Flying,413,50,65,107,105,107,86,4,False
536,479,Electric,Grass,413,50,65,107,105,107,86,4,False
537,480,Psychic,,450,75,75,130,75,130,95,4,True
538,481,Psychic,,475,80,105,105,105,105,80,4,True
539,482,Psychic,,510,75,125,70,125,70,115,4,True
540,483,Steel,Dragon,580,100,120,120,150,100,90,4,True
541,484,Water,Dragon,560,90,120,100,150,120,100,4,True
542,485,Fire,Steel,494,91,90,106,130,106,77,4,True
543,486,Normal,,560,110,160,110,80,110,100,4,True
544,487,Ghost,Dragon,560,150,100,120,100,120,90,4,True
545,487,Ghost,Dragon,580,150,120,100,120,100,90,4,True
546,488,Psychic,,470,120,70,120,75,130,85,4,False
547,489,Water,,400,80,80,80,80,80,80,4,False
548,490,Water,,500,100,100,100,100,100,100,4,False
549,491,Dark,,510,70,90,90,135,90,125,4,True
550,492,Grass,,500,100,100,100,100,100,100,4,True
551,492,Grass,Flying,525,100,103,75,120,75,127,4,True
552,493,Normal,,600,120,120,120,120,120,120,4,True
553,494,Psychic,Fire,500,100,100,100,100,100,100,5,True
554,495,Grass,,253,45,45,55,45,55,63,5,False
555,496,Grass,,338,60,60,75,60,75,83,5,False
556,497,Grass,,433,75,75,95,75,95,113,5,False
557,498,Fire,,263,65,63,45,45,45,45,5,False
558,499,Fire,Fighting,363,90,93,55,70,55,55,5,False
559,500,Fire,Fighting,463,110,123,65,100,65,65,5,False
560,501,Water,,263,55,55,45,63,45,45,5,False
561,502,Water,,353,75,75,60,83,60,60,5,False
562,503,Water,,458,95,100,85,108,70,70,5,False
563,504,Normal,,216,45,55,39,35,39,42,5,False
564,505,Normal,,351,60,85,69,60,69,77,5,False
565,506,Normal,,230,45,60,45,25,45,55,5,False
566,507,Normal,,305,65,80,65,35,65,60,5,False
567,508,Normal,,410,85,110,90,45,90,80,5,False
568,509,Dark,,244,41,50,37,50,37,66,5,False
569,510,Dark,,396,64,88,50,88,50,106,5,False
570,511,Grass,,268,50,53,48,53,48,64,5,False
571,512,Grass,,435,75,98,63,98,63,101,5,False
572,513,Fire,,268,50,53,48,53,48,64,5,False
573,514,Fire,,435,75,98,63,98,63,101,5,False
574,515,Water,,268,50,53,48,53,48,64,5,False
575,516,Water,,435,75,98,63,98,63,101,5,False
576,517,Psychic,,237,76,25,45,67,55,24,5,False
577,518,Psychic,,392,116,55,85,107,95,29,5,False
578,519,Normal,Flying,234,50,55,50,36,30,43,5,False
579,520,Normal,Flying,316,62,77,62,50,42,65,5,False
580,521,Normal,Flying,433,80,115,80,65,55,93,5,False
581,522,Electric,,263,45,60,32,50,32,76,5,False
582,523,Electric,,434,75,100,63,80,63,116,5,False
583,524,Rock,,255,55,75,85,25,25,15,5,False
584,525,Rock,,350,70,105,105,50,40,20,5,False
585,526,Rock,,435,85,135,130,60,80,25,5,False
586,527,Psychic,Flying,270,55,45,43,55,43,72,5,False
587,528,Psychic,Flying,370,67,57,55,77,55,114,5,False
588,529,Ground,,283,60,85,40,30,45,68,5,False
589,530,Ground,Steel,443,110,135,60,50,65,88,5,False
590,531,Normal,,359,103,60,86,60,86,50,5,False
591,531,Normal,Fairy,419,103,60,126,80,126,50,5,False
592,532,Fighting,,270,75,80,55,25,35,35,5,False
593,533,Fighting,,355,85,105,85,40,50,40,5,False
594,534,Fighting,,440,105,140,95,55,65,45,5,False
595,535,Water,,254,50,50,40,50,40,64,5,False
596,536,Water,Ground,329,75,65,55,65,55,69,5,False
597,537,Water,Ground,434,105,95,75,85,75,74,5,False
598,538,Fighting,,380,120,100,85,30,85,45,5,False
599,539,Fighting,,390,75,125,75,30,75,85,5,False
600,540,Bug,Grass,250,45,53,70,40,60,42,5,False
601,541,Bug,Grass,300,55,63,90,50,80,42,5,False
602,542,Bug,Grass,420,75,103,80,70,80,92,5,False
603,543,Bug,Poison,221,30,45,59,30,39,57,5,False
604,544,Bug,Poison,281,40,55,99,40,79,47,5,False
605,545,Bug,Poison,416,60,100,89,55,69,112,5,False
606,546,Grass,Fairy,230,40,27,60,37,50,66,5,False
607,547,Grass,Fairy,405,60,67,85,77,75,116,5,False
608,548,Grass,,230,45,35,50,70,50,30,5,False
609,549,Grass,,405,70,60,75,110,75,90,5,False
610,550,Water,,405,70,92,65,80,55,98,5,False
611,551,Ground,Dark,257,50,72,35,35,35,65,5,False
612,552,Ground,Dark,306,60,82,45,45,45,74,5,False
613,553,Ground,Dark,449,95,117,80,65,70,92,5,False
614,554,Fire,,270,70,90,45,15,45,50,5,False
615,555,Fire,,425,105,140,55,30,55,95,5,False
616,555,Fire,Psychic,435,105,30,105,140,105,55,5,False
617,556,Grass,,394,75,86,67,106,67,60,5,False
618,557,Bug,Rock,290,50,65,85,35,35,55,5,False
619,558,Bug,Rock,400,70,95,125,65,75,45,5,False
620,559,Dark,Fighting,278,50,75,70,35,70,48,5,False
621,560,Dark,Fighting,373,65,90,115,45,115,58,5,False
622,561,Psychic,Flying,410,72,58,80,103,80,97,5,False
623,562,Ghost,,238,38,30,85,55,65,30,5,False
624,563,Ghost,,378,58,50,145,95,105,30,5,False
625,564,Water,Rock,310,54,78,103,53,45,22,5,False
626,565,Water,Rock,430,74,108,133,83,65,32,5,False
627,566,Rock,Flying,356,55,112,45,74,45,70,5,False
628,567,Rock,Flying,502,75,140,65,112,65,110,5,False
629,568,Poison,,267,50,50,62,40,62,65,5,False
630,569,Poison,,392,80,95,82,60,82,75,5,False
631,570,Dark,,290,40,65,40,80,40,65,5,False
632,571,Dark,,450,60,105,60,120,60,105,5,False
633,572,Normal,,260,55,50,40,40,40,75,5,False
634,573,Normal,,410,75,95,60,65,60,115,5,False
635,574,Psychic,,225,45,30,50,55,65,45,5,False
636,575,Psychic,,305,60,45,70,75,85,55,5,False
637,576,Psychic,,380,70,55,95,95,110,65,5,False
638,577,Psychic,,240,45,30,40,105,50,20,5,False
639,578,Psychic,,310,65,40,50,125,60,30,5,False
640,579,Psychic,,405,110,65,75,125,85,30,5,False
641,580,Water,Flying,255,62,44,50,44,50,55,5,False
642,581,Water,Flying,410,75,87,63,87,63,98,5,False
643,582,Ice,,245,36,50,50,65,60,44,5,False
644,583,Ice,,320,51,65,65,80,75,59,5,False
645,584,Ice,,440,71,95,85,110,95,79,5,False
646,585,Normal,Grass,285,60,60,50,40,50,75,5,False
647,586,Normal,Grass,405,80,100,70,60,70,95,5,False
648,587,Electric,Flying,368,55,75,60,75,60,103,5,False
649,588,Bug,,270,50,75,45,40,45,60,5,False
650,589,Bug,Steel,390,70,135,105,60,105,20,5,False
651,590,Grass,Poison,239,69,55,45,55,55,15,5,False
652,591,Grass,Poison,384,114,85,70,85,80,30,5,False
653,592,Water,Ghost,250,55,40,50,65,85,40,5,False
654,593,Water,Ghost,375,100,60,70,85,105,60,5,False
655,594,Water,,425,165,75,80,40,45,65,5,False
656,595,Bug,Electric,269,50,47,50,57,50,65,5,False
657,596,Bug,Electric,412,70,77,60,97,60,108,5,False
658,597,Grass,Steel,219,44,50,91,24,86,10,5,False
659,598,Grass,Steel,373,74,94,131,54,116,20,5,False
660,599,Steel,,240,40,55,70,45,60,30,5,False
661,600,Steel,,355,60,80,95,70,85,50,5,False
662,601,Steel,,435,60,100,115,70,85,90,5,False
663,602,Electric,,235,35,55,40,45,40,60,5,False
664,603,Electric,,335,65,85,70,75,70,40,5,False
665,604,Electric,,435,85,115,80,105,80,50,5,False
666,605,Psychic,,280,55,55,55,85,55,30,5,False
667,606,Psychic,,390,75,75,75,125,95,40,5,False
668,607,Ghost,Fire,220,50,30,55,65,55,20,5,False
669,608,Ghost,Fire,310,60,40,60,95,60,55,5,False
670,609,Ghost,Fire,430,60,55,90,145,90,80,5,False
671,610,Dragon,,280,46,87,60,30,40,57,5,False
672,611,Dragon,,360,66,117,70,40,50,67,5,False
673,612,Dragon,,470,76,147,90,60,70,97,5,False
674,613,Ice,,265,55,70,40,60,40,40,5,False
675,614,Ice,,405,95,110,80,70,80,50,5,False
676,615,Ice,,350,70,50,30,95,135,105,5,False
677,616,Bug,,240,50,40,85,40,65,25,5,False
678,617,Bug,,435,80,70,40,100,60,145,5,False
679,618,Ground,Electric,372,109,66,84,81,99,32,5,False
680,619,Fighting,,300,45,85,50,55,50,65,5,False
681,620,Fighting,,450,65,125,60,95,60,105,5,False
682,621,Dragon,,395,77,120,90,60,90,48,5,False
683,622,Ground,Ghost,253,59,74,50,35,50,35,5,False
684,623,Ground,Ghost,403,89,124,80,55,80,55,5,False
685,624,Dark,Steel,300,45,85,70,40,40,60,5,False
686,625,Dark,Steel,420,65,125,100,60,70,70,5,False
687,626,Normal,,395,95,110,95,40,95,55,5,False
688,627,Normal,Flying,300,70,83,50,37,50,60,5,False
689,628,Normal,Flying,435,100,123,75,57,75,80,5,False
690,629,Dark,Flying,305,70,55,75,45,65,60,5,False
691,630,Dark,Flying,415,110,65,105,55,95,80,5,False
692,631,Fire,,418,85,97,66,105,66,65,5,False
693,632,Bug,Steel,436,58,109,112,48,48,109,5,False
694,633,Dark,Dragon,250,52,65,50,45,50,38,5,False
695,634,Dark,Dragon,350,72,85,70,65,70,58,5,False
696,635,Dark,Dragon,510,92,105,90,125,90,98,5,False
697,636,Bug,Fire,305,55,85,55,50,55,60,5,False
698,637,Bug,Fire,445,85,60,65,135,105,100,5,False
699,638,Steel,Fighting,508,91,90,129,90,72,108,5,True
700,639,Rock,Fighting,490,91,129,90,72,90,108,5,True
701,640,Grass,Fighting,451,91,90,72,90,129,108,5,True
702,641,Flying,,500,79,115,70,125,80,111,5,True
703,641,Flying,,490,79,100,80,110,90,121,5,True
704,642,Electric,Flying,500,79,115,70,125,80,111,5,True
705,642,Electric,Flying,500,79,105,70,145,80,101,5,True
706,643,Dragon,Fire,560,100,120,100,150,120,90,5,True
707,644,Dragon,Electric,580,100,150,120,120,100,90,5,True
708,645,Ground,Flying,520,89,125,90,115,80,101,5,True
709,645,Ground,Flying,520,89,145,90,105,80,91,5,True
710,646,Dragon,Ice,570,125,130,90,130,90,95,5,True
711,646,Dragon,Ice,610,125,170,100,120,90,95,5,True
712,646,Dragon,Ice,600,125,120,90,170,100,95,5,True
713,647,Water,Fighting,490,91,72,90,129,90,108,5,False
714,647,Water,Fighting,490,91,72,90,129,90,108,5,False
715,648,Normal,Psychic,472,100,77,77,128,128,90,5,False
716,648,Normal,Fighting,523,100,128,90,77,77,128,5,False
717,649,Bug,Steel,505,71,120,95,120,95,99,5,False
718,650,Grass,,268,56,61,65,48,45,38,6,False
719,651,Grass,,347,61,78,95,56,58,57,6,False
720,652,Grass,Fighting,455,88,107,122,74,75,64,6,False
721,653,Fire,,247,40,45,40,62,60,60,6,False
722,654,Fire,,339,59,59,58,90,70,73,6,False
723,655,Fire,Psychic,434,75,69,72,114,100,104,6,False
724,656,Water,,270,41,56,40,62,44,71,6,False
725,657,Water,,349,54,63,52,83,56,97,6,False
726,658,Water,Dark,459,72,95,67,103,71,122,6,False
727,659,Normal,,201,38,36,38,32,36,57,6,False
728,660,Normal,Ground,346,85,56,77,50,77,78,6,False
729,661,Normal,Flying,240,45,50,43,40,38,62,6,False
730,662,Fire,Flying,330,62,73,55,56,52,84,6,False
731,663,Fire,Flying,430,78,81,71,74,69,126,6,False
732,664,Bug,,175,38,35,40,27,25,35,6,False
733,665,Bug,,183,45,22,60,27,30,29,6,False
734,666,Bug,Flying,361,80,52,50,90,50,89,6,False
735,667,Fire,Normal,315,62,50,58,73,54,72,6,False
736,668,Fire,Normal,441,86,68,72,109,66,106,6,False
737,669,Fairy,,224,44,38,39,61,79,42,6,False
738,670,Fairy,,273,54,45,47,75,98,52,6,False
739,671,Fairy,,398,78,65,68,112,154,75,6,False
740,672,Grass,,293,66,65,48,62,57,52,6,False
741,673,Grass,,450,123,100,62,97,81,68,6,False
742,674,Fighting,,300,67,82,62,46,48,43,6,False
743,675,Fighting,Dark,424,95,124,78,69,71,58,6,False
744,676,Normal,,382,75,80,60,65,90,102,6,False
745,677,Psychic,,295,62,48,54,63,60,68,6,False
746,678,Psychic,,385,74,48,76,83,81,104,6,False
747,678,Psychic,,385,74,48,76,83,81,104,6,False
748,679,Steel,Ghost,288,45,80,100,35,37,28,6,False
749,680,Steel,Ghost,399,59,110,150,45,49,35,6,False
750,681,Steel,Ghost,470,60,150,50,150,50,60,6,False
751,681,Steel,Ghost,370,60,50,150,50,150,60,6,False
752,682,Fairy,,276,78,52,60,63,65,23,6,False
753,683,Fairy,,373,101,72,72,99,89,29,6,False
754,684,Fairy,,284,62,48,66,59,57,49,6,False
755,685,Fairy,,405,82,80,86,85,75,72,6,False
756,686,Dark,Psychic,242,53,54,53,37,46,45,6,False
757,687,Dark,Psychic,407,86,92,88,68,75,73,6,False
758,688,Rock,Water,250,42,52,67,39,56,50,6,False
759,689,Rock,Water,414,72,105,115,54,86,68,6,False
760,690,Poison,Water,260,50,60,60,60,60,30,6,False
761,691,Poison,Dragon,371,65,75,90,97,123,44,6,False
762,692,Water,,267,50,53,62,58,63,44,6,False
763,693,Water,,411,71,73,88,120,89,59,6,False
764,694,Electric,Normal,246,44,38,33,61,43,70,6,False
765,695,Electric,Normal,387,62,55,52,109,94,109,6,False
766,696,Rock,Dragon,317,58,89,77,45,45,48,6,False
767,697,Rock,Dragon,462,82,121,119,69,59,71,6,False
768,698,Rock,Ice,299,77,59,50,67,63,46,6,False
769,699,Rock,Ice,429,123,77,72,99,92,58,6,False
770,700,Fairy,,395,95,65,65,110,130,60,6,False
771,701,Fighting,Flying,437,78,92,75,74,63,118,6,False
772,702,Electric,Fairy,364,67,58,57,81,67,101,6,False
773,703,Rock,Fairy,350,50,50,150,50,150,50,6,False
774,704,Dragon,,225,45,50,35,55,75,40,6,False
775,705,Dragon,,339,68,75,53,83,113,60,6,False
776,706,Dragon,,450,90,100,70,110,150,80,6,False
777,707,Steel,Fairy,383,57,80,91,80,87,75,6,False
778,708,Ghost,Grass,249,43,70,48,50,60,38,6,False
779,709,Ghost,Grass,392,85,110,76,65,82,56,6,False
780,710,Ghost,Grass,280,49,66,70,44,55,51,6,False
781,710,Ghost,Grass,280,44,66,70,44,55,56,6,False
782,710,Ghost,Grass,280,54,66,70,44,55,46,6,False
783,710,Ghost,Grass,280,59,66,70,44,55,41,6,False
784,711,Ghost,Grass,419,65,90,122,58,75,84,6,False
785,711,Ghost,Grass,419,55,85,122,58,75,99,6,False
786,711,Ghost,Grass,419,75,95,122,58,75,69,6,False
787,711,Ghost,Grass,419,85,100,122,58,75,54,6,False
788,712,Ice,,269,55,69,85,32,35,28,6,False
789,713,Ice,,468,95,117,184,44,46,28,6,False
790,714,Flying,Dragon,205,40,30,35,45,40,55,6,False
791,715,Flying,Dragon,455,85,70,80,97,80,123,6,False
792,716,Fairy,,582,126,131,95,131,98,99,6,True
793,717,Dark,Flying,582,126,131,95,131,98,99,6,True
794,718,Dragon,Ground,505,108,100,121,81,95,95,6,True
795,719,Rock,Fairy,450,50,100,150,100,150,50,6,True
796,719,Rock,Fairy,590,50,160,110,160,110,110,6,True
797,720,Psychic,Ghost,470,80,110,60,150,130,70,6,True
798,720,Psychic,Dark,550,80,160,60,170,130,80,6,True
799,721,Fire,Water,510,80,110,120,130,90,70,6,True
